prefecture,date,city,location,city_cleaned,location_cleaned,longitude,latitude,longitude_cleaned,latitude_cleaned
静岡県,2024-06-10,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
静岡県,2024-06-10,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
山梨県,2024-06-10,身延町,和田,身延町,和田,138.452972,35.348892,,
静岡県,2024-06-11,小山町,大御神,小山町,大御神,138.900375,35.375614,,
神奈川県,2024-06-11,,,,,,,,
山梨県,2024-06-11,早川町,保地内,早川町,保地内,,,,
山梨県,2024-06-11,都留市,大幡・初狩,都留市,大幡,,,138.839966,35.565659
山梨県,2024-06-11,南部町,塩沢地区,南部町,塩沢地区,,,,
山梨県,2024-06-11,大月市,笹子町黒野田,大月市,笹子町黒野田,138.798981,35.597111,138.798981,35.597111
山梨県,2024-06-11,早川町,奈良田,早川町,奈良田,138.276611,35.603207,,
静岡県,2024-06-11,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
山梨県,2024-06-12,北杜市,須玉町江草,北杜市,須玉町江草,138.504684,35.811039,138.504684,35.811039
神奈川県,2024-06-12,相模原市,緑区牧野,相模原市緑区,牧野,,,139.164047,35.571507
神奈川県,2024-06-12,清川村,煤ケ谷,清川村,煤ケ谷,,,,
静岡県,2024-06-12,浜松市天竜区,水窪町奥領家,浜松市天竜区,水窪町奥領家,137.900558,35.228153,137.900558,35.228153
山梨県,2024-06-12,山中湖村,山中,山中湖村,山中,138.847412,35.427853,,
山梨県,2024-06-12,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
静岡県,2024-06-12,静岡市葵区,平野,静岡市葵区,平野,138.373322,35.151382,138.373322,35.151382
山梨県,2024-06-12,北杜市,白州町白須,北杜市,白州町白須,138.267776,35.79528,138.267776,35.79528
山梨県,2024-06-12,笛吹市,御坂町藤木,笛吹市,御坂町藤木,,,,
山梨県,2024-06-13,大月市,真木,大月市,真木,,,,
山梨県,2024-06-13,富士吉田市,上暮地,富士吉田市,上暮地,138.827469,35.508064,138.827469,35.508064
静岡県,2024-06-13,富士宮市,人穴,富士宮市,人穴,138.629196,35.363747,138.629196,35.363747
静岡県,2024-06-13,静岡市清水区,大平,静岡市清水区,大平,138.421783,35.173763,138.421783,35.173763
神奈川県,2024-06-14,相模原市,緑区牧野,相模原市緑区,牧野,,,139.164047,35.571507
山梨県,2024-06-14,山梨市,三富川浦,山梨市,三富川浦,138.781586,35.847103,138.781586,35.847103
静岡県,2024-06-14,富士宮市,人穴,富士宮市,人穴,138.629196,35.363747,138.629196,35.363747
山梨県,2024-06-14,笛吹市,八代町竹居,笛吹市,八代町竹居,138.675507,35.585686,138.675507,35.585686
山梨県,2024-06-14,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-06-14,甲府市,古関,甲府市,古関,,,,
静岡県,2024-06-15,小山町,大御神,小山町,大御神,138.900375,35.375614,,
神奈川県,2024-06-15,愛川町,半原,愛川町,半原,139.264832,35.529568,,
神奈川県,2024-06-16,秦野市,寺山,秦野市,寺山,139.217407,35.421936,139.217407,35.421936
静岡県,2024-06-16,富士宮市,猪之頭,富士宮市,猪之頭,138.555908,35.367573,138.555908,35.367573
静岡県,2024-06-16,富士宮市,佐折,富士宮市,佐折,138.552734,35.325047,138.552734,35.325047
静岡県,2024-06-16,御殿場市,仁杉,御殿場市,仁杉,138.906799,35.325901,138.906799,35.325901
山梨県,2024-06-16,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-06-16,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-06-16,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-06-16,市川三郷町,山保,市川三郷町,山保,138.509537,35.52877,,
静岡県,2024-06-17,裾野市,富沢,裾野市,富沢,138.880737,35.179779,138.880737,35.179779
山梨県,2024-06-17,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
神奈川県,2024-06-17,山北町,皆瀬川,山北町,皆瀬川,139.063675,35.37212,,
山梨県,2024-06-17,早川町,保地区,早川町,保地区,,,,
山梨県,2024-06-17,小菅村,鶴峠頂上付近,小菅村,鶴峠頂上付近,,,,
山梨県,2024-06-18,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-06-18,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
静岡県,2024-06-18,裾野市,桃園,裾野市,桃園,138.892532,35.180679,138.892532,35.180679
山梨県,2024-06-19,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-06-19,身延町,横根中,身延町,横根中,138.419952,35.314167,,
山梨県,2024-06-19,大月市,七保町奈良子,大月市,七保町奈良子,138.917099,35.673138,138.917099,35.673138
山梨県,2024-06-19,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
神奈川県,2024-06-19,相模原市,緑区寸沢嵐,相模原市緑区,寸沢嵐,,,,
山梨県,2024-06-20,都留市,大幡,都留市,大幡,138.839966,35.565659,138.839966,35.565659
山梨県,2024-06-20,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
静岡県,2024-06-20,富士宮市,内房,富士宮市,内房,138.541122,35.189018,138.541122,35.189018
静岡県,2024-06-21,小山町,棚頭,小山町,棚頭,138.942032,35.355148,,
神奈川県,2024-06-22,相模原市,緑区青根,相模原市緑区,青根,,,139.116531,35.517387
山梨県,2024-06-22,大月市,七保町奈良子,大月市,七保町奈良子,138.917099,35.673138,138.917099,35.673138
山梨県,2024-06-22,富士河口湖町,浅川,富士河口湖町,浅川,138.776489,35.508926,,
山梨県,2024-06-22,富士河口湖町,本栖,富士河口湖町,本栖,138.617065,35.450409,,
山梨県,2024-06-22,富士河口湖町,西湖南,富士河口湖町,西湖南,138.676239,35.490849,,
神奈川県,2024-06-23,相模原市,緑区青野原,相模原市緑区,青野原,,,139.186737,35.553944
神奈川県,2024-06-23,松田町,寄,松田町,寄,139.124084,35.405666,,
神奈川県,2024-06-23,愛川町,半原,愛川町,半原,139.264832,35.529568,,
神奈川県,2024-06-23,愛川町,半原,愛川町,半原,139.264832,35.529568,,
神奈川県,2024-06-24,,有害鳥獣捕獲のためのシカ、イノシシ用くくり罠に錯誤捕獲。,,有害鳥獣捕獲のためのシカ、イノシシ用くくり罠に錯誤捕獲。,,,,
山梨県,2024-06-24,上野原市,西原,上野原市,西原,139.015167,35.702133,139.015167,35.702133
山梨県,2024-06-24,小菅村,大久保,小菅村,大久保,,,,
静岡県,2024-06-25,静岡市葵区,有東木,静岡市葵区,有東木,138.376984,35.205166,138.376984,35.205166
山梨県,2024-06-25,早川町,大島,早川町,大島,138.35228,35.417099,,
山梨県,2024-06-25,小菅村,小永田,小菅村,小永田,,,,
山梨県,2024-06-26,大月市,七保町瀬戸,大月市,七保町瀬戸,138.952286,35.692577,138.952286,35.692577
山梨県,2024-06-26,大月市,七保町葛野,大月市,七保町葛野,138.963058,35.635151,138.963058,35.635151
山梨県,2024-06-26,大月市,真木,大月市,真木,,,,
山梨県,2024-06-26,山梨市,三富川浦,山梨市,三富川浦,138.781586,35.847103,138.781586,35.847103
山梨県,2024-06-26,笛吹市,八代町竹居,笛吹市,八代町竹居,138.675507,35.585686,138.675507,35.585686
静岡県,2024-06-26,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
神奈川県,2024-06-26,伊勢原市,大山,伊勢原市,大山,139.246063,35.42717,139.246063,35.42717
山梨県,2024-06-26,上野原市,鶴川,上野原市,鶴川,139.098343,35.633427,139.098343,35.633427
静岡県,2024-06-27,小山町,棚頭,小山町,棚頭,138.942032,35.355148,,
静岡県,2024-06-27,浜松市天竜区,春野町豊岡,浜松市天竜区,春野町豊岡,137.917358,35.05648,137.917358,35.05648
神奈川県,2024-06-27,秦野市,寺山,秦野市,寺山,139.217407,35.421936,139.217407,35.421936
山梨県,2024-06-27,南部町,中野区和田原,南部町,中野区和田原,,,,
山梨県,2024-06-27,鳴沢村,鳴沢,鳴沢村,鳴沢,,,,
山梨県,2024-06-27,笛吹市,芦川町上芦川,笛吹市,芦川町上芦川,138.714813,35.549503,138.714813,35.549503
山梨県,2024-06-27,早川町,保地内,早川町,保地内,,,,
山梨県,2024-06-27,早川町,保地内,早川町,保地内,,,,
山梨県,2024-06-28,丹波山村,奥秋,丹波山村,奥秋,138.913513,35.793247,,
山梨県,2024-06-28,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-06-28,山中湖村,長池,山中湖村,長池,,,,
山梨県,2024-06-29,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
神奈川県,2024-06-29,相模原市,緑区青根,相模原市緑区,青根,,,139.116531,35.517387
静岡県,2024-06-29,浜松市天竜区,水窪町奥領家,浜松市天竜区,水窪町奥領家,137.900558,35.228153,137.900558,35.228153
静岡県,2024-06-29,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
山梨県,2024-06-30,山中湖村,山中,山中湖村,山中,138.847412,35.427853,,
山梨県,2024-06-30,笛吹市,八代町竹居,笛吹市,八代町竹居,138.675507,35.585686,138.675507,35.585686
山梨県,2024-06-30,都留市,小野,都留市,小野,138.908127,35.528454,138.908127,35.528454
山梨県,2024-06-30,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-06-30,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
神奈川県,2024-06-30,厚木市,七沢,厚木市,七沢,139.266006,35.448963,139.266006,35.448963
静岡県,2024-07-01,小山町,小山,小山町,小山,139.003448,35.343582,,
神奈川県,2024-07-01,相模原市,緑区牧野,相模原市緑区,牧野,,,139.164047,35.571507
山梨県,2024-07-01,小菅村,井狩,小菅村,井狩,,,,
山梨県,2024-07-01,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-07-01,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-07-02,大月市,七保町奈良子,大月市,七保町奈良子,138.917099,35.673138,138.917099,35.673138
山梨県,2024-07-02,甲州市,大和町日影,甲州市,大和町日影,138.76825,35.628475,138.76825,35.628475
山梨県,2024-07-03,甲州市,大和町日影,甲州市,大和町日影,138.76825,35.628475,138.76825,35.628475
山梨県,2024-07-03,笛吹市,御坂町藤野木,笛吹市,御坂町藤野木,138.773087,35.581715,138.773087,35.581715
山梨県,2024-07-03,上野原市,大野,上野原市,大野,139.058258,35.623985,139.058258,35.623985
山梨県,2024-07-03,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
静岡県,2024-07-03,静岡市葵区,井川,静岡市葵区,井川,138.231674,35.214729,138.231674,35.214729
