prefecture,date,city,location,longitude,latitude
山梨県,2024-06-17,小菅村,鶴峠頂上付近,138.940277,35.760277
山梨県,2024-06-18,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-06-18,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-06-18,裾野市,桃園,138.892532,35.180679
山梨県,2024-06-19,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-06-19,身延町,横根中,138.419952,35.314167
山梨県,2024-06-19,大月市,七保町奈良子,138.917099,35.673138
山梨県,2024-06-19,富士河口湖町,河口,138.779053,35.543289
神奈川県,2024-06-19,相模原市,緑区寸沢嵐,139.206879,35.586128
山梨県,2024-06-20,都留市,大幡,138.839966,35.565659
山梨県,2024-06-20,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-06-20,富士宮市,内房,138.541122,35.189018
静岡県,2024-06-21,小山町,棚頭,138.942032,35.355148
神奈川県,2024-06-22,相模原市,緑区青根,139.116531,35.517387
山梨県,2024-06-22,大月市,七保町奈良子,138.917099,35.673138
山梨県,2024-06-22,富士河口湖町,浅川,138.776489,35.508926
山梨県,2024-06-22,富士河口湖町,本栖,138.617065,35.450409
山梨県,2024-06-22,富士河口湖町,西湖南,138.676239,35.490849
神奈川県,2024-06-23,相模原市,緑区青野原,139.186737,35.553944
神奈川県,2024-06-23,松田町,寄,139.124084,35.405666
神奈川県,2024-06-23,愛川町,半原,139.264832,35.529568
神奈川県,2024-06-23,愛川町,半原,139.264832,35.529568
神奈川県,2024-06-24,,有害鳥獣捕獲のためのシカ、イノシシ用くくり罠に錯誤捕獲。,,
山梨県,2024-06-24,上野原市,西原,139.015167,35.702133
山梨県,2024-06-24,小菅村,大久保,138.940277,35.760277
静岡県,2024-06-25,静岡市葵区,有東木,138.376984,35.205166
山梨県,2024-06-25,早川町,大島,138.35228,35.417099
山梨県,2024-06-25,小菅村,小永田,138.940277,35.760277
山梨県,2024-06-26,大月市,七保町瀬戸,138.952286,35.692577
山梨県,2024-06-26,大月市,七保町葛野,138.963058,35.635151
山梨県,2024-06-26,大月市,真木,138.940002,35.610554
